OBJECTID_1,OBJECTID,DNR_REGION,DNR_CNTY_C,COUNTY_NAM,COUNTY_FIP,SHAPEAREA,SHAPELEN,Shape_Length,Shape_Area,Point_Count
61,1341,Northern Region,51,Price,99,3307613324,232671.3276,232671.3275,3307613324,21
62,1342,Northern Region,19,Florence,37,1287732789,186024.2227,186024.2223,1287732789,3
63,1343,Northern Region,21,Forest,41,2708836355,256474.6095,256474.6097,2708836355,23
64,1344,Northern Region,58,Sawyer,113,3494980627,250615.2565,250615.2564,3494980627,24
65,1345,Northern Region,66,Washburn,129,2208826421,193998.1431,193998.143,2208826421,21
66,1346,Northern Region,7,Burnett,13,2278506549,255299.1908,255299.1909,2278506550,16
67,1347,Northern Region,64,Vilas,125,2634484406,250507.6723,250507.6723,2634484407,18
68,1348,Northern Region,26,Iron,51,2076555824,241955.5434,241955.5428,2076555824,16
69,1349,Northern Region,16,Douglas,31,3476446003,258177.0175,258177.0175,3476446003,23
70,1350,Northern Region,4,Bayfield,7,3914442993,342451.9804,342451.9792,3914442994,32
71,1351,Northern Region,2,Ashland,3,2729952138,526588.0655,526588.0659,2729952138,23
72,1352,Northeast Region,5,Brown,9,1387498145,243078.3035,243078.3024,1387498145,8
